table_schema,table_name,table_comment,ordinal_position,column_name,data_type,column_comment,is_nullable,column_default
public,adhoc_task,"",1,adhoc_task_id,bigint,"",NO,nextval('adhoc_task_adhoc_task_id_seq'::regclass)
public,adhoc_task,"",2,created_at,timestamp(6) without time zone,"",NO,""
public,adhoc_task,"",3,updated_at,timestamp(6) without time zone,"",NO,""
public,adhoc_task,"",4,due_at,date,"",YES,""
public,adhoc_task,"",5,include_in_alert,boolean,"",NO,""
public,adhoc_task,"",6,open_at,date,"",YES,""
public,adhoc_task,"",7,require_indicator_report,boolean,"",NO,""
public,adhoc_task,"",8,scope_type,character varying(255),"",NO,""
public,adhoc_task,"",9,status,character varying(255),"",NO,""
public,adhoc_task,"",10,task_desc,text,"",YES,""
public,adhoc_task,"",11,task_title,character varying(200),"",NO,""
public,adhoc_task,"",12,creator_org_id,bigint,"",NO,""
public,adhoc_task,"",13,cycle_id,bigint,"",NO,""
public,adhoc_task,"",14,indicator_id,bigint,"",YES,""
public,adhoc_task_indicator_map,"",1,adhoc_task_id,bigint,"",NO,""
public,adhoc_task_indicator_map,"",2,indicator_id,bigint,"",NO,""
public,adhoc_task_target,"",1,adhoc_task_id,bigint,"",NO,""
public,adhoc_task_target,"",2,target_org_id,bigint,"",NO,""
public,alert_event,"",1,event_id,bigint,"",NO,nextval('alert_event_event_id_seq'::regclass)
public,alert_event,"",2,created_at,timestamp(6) without time zone,"",NO,""
public,alert_event,"",3,updated_at,timestamp(6) without time zone,"",NO,""
public,alert_event,"",4,actual_percent,"numeric(5,2)","",NO,""
public,alert_event,"",5,detail_json,jsonb,"",YES,""
public,alert_event,"",6,expected_percent,"numeric(5,2)","",NO,""
public,alert_event,"",7,gap_percent,"numeric(5,2)","",NO,""
public,alert_event,"",8,handled_note,text,"",YES,""
public,alert_event,"",9,severity,character varying(255),"",NO,""
public,alert_event,"",10,status,character varying(255),"",NO,""
public,alert_event,"",11,handled_by,bigint,"",YES,""
public,alert_event,"",12,indicator_id,bigint,"",NO,""
public,alert_event,"",13,rule_id,bigint,"",NO,""
public,alert_event,"",14,window_id,bigint,"",NO,""
public,alert_rule,"",1,rule_id,bigint,"",NO,nextval('alert_rule_rule_id_seq'::regclass)
public,alert_rule,"",2,created_at,timestamp(6) without time zone,"",NO,""
public,alert_rule,"",3,updated_at,timestamp(6) without time zone,"",NO,""
